shape_id,lat,lon,shape_pt_sequence,shape_dist_traveled
510_0_323,32.65357208,-117.10360718,70013,9.253000
510_0_323,32.65465164,-117.10476685,70014,9.354000
510_0_323,32.65494537,-117.10504150,70015,9.380000
510_0_323,32.65555191,-117.10547638,70016,9.429000
510_0_323,32.65584946,-117.10564423,70017,9.451000
510_0_323,32.66024017,-117.10740662,70018,9.771000
510_0_323,32.66215897,-117.10814667,70019,9.910000
510_0_323,32.66215897,-117.10814667,80001,9.910000
510_0_323,32.66556168,-117.10946655,80002,10.157000
510_0_323,32.66987228,-117.11109161,80003,10.469000
510_0_323,32.67417145,-117.11279297,80004,10.781000
510_0_323,32.67482376,-117.11304474,80005,10.828000
510_0_323,32.67482376,-117.11304474,90001,10.828000
510_0_323,32.67692184,-117.11386108,90002,10.980000
510_0_323,32.67776489,-117.11420441,90003,11.042000
510_0_323,32.67816544,-117.11439514,90004,11.072000
510_0_323,32.67846680,-117.11457062,90005,11.095000
510_0_323,32.67880630,-117.11479950,90006,11.122000
510_0_323,32.67911148,-117.11505890,90007,11.148000
510_0_323,32.67956161,-117.11550140,90008,11.188000
510_0_323,32.67980576,-117.11578369,90009,11.212000
510_0_323,32.68072510,-117.11709595,90010,11.311000
510_0_323,32.68626404,-117.12509918,90011,11.913000
510_0_323,32.68626404,-117.12509918,100001,11.913000
510_0_323,32.69035721,-117.13101196,100002,12.359000
510_0_323,32.69070435,-117.13159943,100003,12.401000
510_0_323,32.69091797,-117.13201141,100004,12.428000
510_0_323,32.69111633,-117.13244629,100005,12.458000
510_0_323,32.69128418,-117.13287354,100006,12.485000
510_0_323,32.69141388,-117.13323975,100007,12.508000
510_0_323,32.69141388,-117.13323975,110001,12.508000
510_0_323,32.69156647,-117.13368225,110002,12.536000
510_0_323,32.69177246,-117.13455963,110003,12.589000
510_0_323,32.69186783,-117.13507843,110004,12.620000
510_0_323,32.69202423,-117.13631439,110005,12.693000
510_0_323,32.69219208,-117.13719940,110006,12.746000
510_0_323,32.69230270,-117.13763428,110007,12.772000
510_0_323,32.69244385,-117.13805389,110008,12.798000
510_0_323,32.69261169,-117.13851166,110009,12.827000
510_0_323,32.69282913,-117.13892365,110010,12.856000
